COU,VAT_rate,VRR
AUT,20,0.58
AUS,10,0.51
BEL,21,0.45
CAN,12.4,0.48
CHE,7.7,0.68
CHL,19,0.64
COL,19,0.35
CZE,21,0.59
CRI,13,0.45
DEU,19,0.57
DNK,25,0.64
EST,20,0.72
ESP,21,0.42
FIN,24,0.58
FRA,20,0.49
GBR,20,0.44
GRC,24,0.38
HUN,27,0.59
IRL,23,0.45
ISR,17,0.64
ISL,24,0.46
ITA,22,0.38
JPN,10,0.71
KOR,10,0.7
LTU,21,0.54
LUX,17,0.77
LVA,21,0.61
MEX,16,0.37
NLD,21,0.58
NOR,25,0.6
NZL,15,1.02
POL,23,0.51
PRT,23,0.49
SWE,25,0.6
SVN,22,0.54
SVK,20,0.51
TUR,18,0.34
USA,7.4,0.361
OAVG,19.03947368,0.545815789
